name,description,price,imagePath,rating,reviews,brand,category_gender,category_type
Green Shirt,Experience ultimate comfort in this luxuriously soft shirt.,2300,wearables/Female/Shirts/ewuywkfjjwkvqtcqcdhu,3.8,"This shirt is a wardrobe staple, It's versatile enough to wear to work or on a casual weekend outing.",Outfitters,Women,Shirt
White Shirt,Elevate your everyday look with this versatile and chic shirt.,2200,wearables/Female/Shirts/zn2uimwf7o3paal6f7mp,4.6,"This shirt is a true wardrobe gem, The fabric is incredibly soft and the fit is just perfect.",Engine,Women,Shirt
Green Shirt,Make a statement with this bold and expressive shirt.,2300,wearables/Female/Shirts/jtq5qygd2gifmqolo0l1,3.7,"Love the versatility of this shirt, It pairs effortlessly with jeans for a casual look or with trousers for a more polished vibe.",Engine,Women,Shirt
Beige Shirt,Keep it casual yet stylish with this laid-back shirt.,1900,wearables/Female/Shirts/apxt3okjyxupgie0qbrt,4.3,"Can't get over how comfortable this shirt is, It's like wearing a cozy hug all day long.",Outfitters,Women,Shirt
Pink Shirt,Showcase your individual style with this unique and trendy shirt.,2400,wearables/Female/Shirts/ww1toog5qspznjtfrfry,4,"Obsessed with the attention to detail on this shirt, From the button placement to the stitching, it's perfect",Engine,Women,Shirt
White Shirt,Stay polished and professional in this refined shirt.,2500,wearables/Female/Shirts/fjieselfrluiolirrotz,4.9,"This shirt is a definite confidence booster, I feel stylish and puttogether whenever I wear it.",Engine,Women,Shirt
White Shirt,Transition seamlessly from day to night with this versatile shirt.,2300,wearables/Female/Shirts/hmeziyaksctky8eu8tt3,3.5,"The color of this shirt is even more stunning in person, It adds a pop of brightness to my wardrobe.",Furor,Women,Shirt
Purple Shirt ,Stay cozy and relaxed in this soft and comfortable shirt.,2500,wearables/Female/Shirts/wddn4gjbfh2pufjffzse,4.2,"So impressed with the durability of this shirt, It's been through countless washes and still looks as good as new.",Engine,Women,Shirt
White Shirt,Embrace adventure in this rugged and durable shirt.,1900,wearables/Female/Shirts/rhb9sx3szobdveuwjtft,3.3,"Love the tailored fit of this shirt, It accentuates all the right curves without feeling restrictive.",Furor,Women,Shirt
Pink Shirt,Achieve peak performance in this sporty and functional shirt.,1900,wearables/Female/Shirts/av057aku9vrlconj4rzb,4.7,"This shirt is a definite conversation starter, I've had friends and strangers alike compliment me on its unique design.",Outfitters,Women,Shirt
Purple Shirt ,Elevate your look with this elegantly tailored shirt.,1800,wearables/Female/Shirts/hsjhalbouevwa34uvb0h,3.4,"Can't recommend this shirt enough, It's a timeless piece that I know I'll be reaching for season after season.",Engine,Women,Shirt
Blue Jeans,Stay effortlessly stylish and comfortable with these versatile pants.,1900,wearables/Male/Pants/ms55qniecpdly6b8jb66,4.1,"Harry White: These pants are fantastic, Frank Brown: The fit is spot on and they're incredibly comfortable to wear all day long.",Engine,Men,Pant
Washed Jeans,Step up your fashion game with these sleek and modern pants.,2700,wearables/Male/Pants/vfbtima2p5oi1mpz0c1w,3.9,"Olivia Garcia: Obsessed with the style of these pants, David Smith: They're trendy yet timeless, making them a versatile addition to any wardrobe.",Engine,Men,Pant
Coffee Pants,Make a statement with these bold and trendsetting pants.,2900,wearables/Male/Pants/dadjhpryepalr2kqyjbp,4.6,"Rachel Moore: Can't get enough of these pants, Irene Kim: The quality is exceptional and they hold their shape even after multiple wears.",Engine,Men,Pant
Blue Jeans,Stay cool and comfortable in these lightweight and breathable pants.,2200,wearables/Male/Pants/a3vdmd67wxjedmkw1uje,3.8,"Rachel Moore: These pants are a game-changer, Olivia Garcia: They're so easy to dress up or down, making them a staple in my closet.",Furor,Men,Pant
Washed Jeans,Elevate your look with these elegantly tailored pants.,2700,wearables/Male/Pants/tmcewyg2ovykai5e7t9u,4.4,"Quinn Taylor: Absolutely thrilled with these pants, Nick Jones: The material is soft yet durable, and they wash well too.",Outfitters,Men,Pant
Washed Jeans,Add a touch of sophistication to your wardrobe with these refined pants.,2500,wearables/Male/Pants/cup4u0kfw7ddgbbfyi7k,4,"So happy with my purchase of these pants, They're perfect for everyday wear and the fit is flattering.",Engine,Men,Pant
Black Jeans,Stay cozy and relaxed in these soft and plush pants.,2900,wearables/Male/Pants/jhlyhpk7ojv8l9rkxo6t,4.5,"Wow, these pants exceeded my expectations, The attention to detail in the design is evident and they feel luxurious to wear.",Furor,Men,Pant
Coffee Pants,Embrace adventure in these rugged and durable pants.,2600,wearables/Male/Pants/fvbyoqcoqnwoorz3kxxs,4.2,"These pants are a musthave, The fit is flattering and they're versatile enough to wear with a variety of tops.",Furor,Men,Pant
Blue Jeans,Achieve maximum comfort and style with these versatile pants.,2500,wearables/Male/Pants/xbewdr8k0rt6rz7g0wim,4.7,"Love, love, love these pants, They're stylish and comfortable, making them perfect for any occasion.",Outfitters,Men,Pant
Denim Pants,Make a bold fashion statement with these eye-catching pants.,2900,wearables/Male/Pants/by8n0n3ikxznldwqzido,3.6,"These pants are exactly what I was looking for, The delivery was hasslefree, making the whole shopping experience enjoyable.",Engine,Men,Pant
Washed Cargos,Experience luxury and comfort in these impeccably crafted pants.,2700,wearables/Male/Pants/yo6ze8gbwovx6oryce5j,4.3,"The quality of these pants is unmatched, They're wellmade and I can tell they'll last for a long time.",Furor,Men,Pant
Black Jeans,Transition seamlessly from day to night with these versatile pants.,2700,wearables/Male/Pants/xkxnmlaxsrzm1knyzvvw,3.5,"Couldn't be happier with these pants, They're a perfect addition to my wardrobe and I've received so many compliments.",Furor,Men,Pant
Black Pants,Indulge in ultimate comfort with these luxuriously soft pants.,2700,wearables/Male/Pants/lybgoy4wdrf8fbkciihx,4.1,"These pants are a wardrobe essential, The classic design makes them timeless and easy to pair with anything.",Engine,Men,Pant
Black Jeans,Keep it casual yet stylish in these laid-back pants.,2400,wearables/Male/Pants/vjonrnkderzkyzwy5akm,3.9,"So impressed with the craftsmanship of these pants, They're made with attention to detail and it shows.",Furor,Men,Pant
Washed Jeans,Showcase your individuality with these uniquely designed pants.,2900,wearables/Female/Pants/hnasrcldk1u2yaipemb1,4.6,"These pants are a real standout piece, The unique pattern adds personality to any outfit and sets them apart from the rest.",Outfitters,Women,Pant
Cream Pants,Stay on-trend with these fashionable and modern pants.,2500,wearables/Female/Pants/kdwmtlsy2to9f4rvfw8h,3.8,"Love the versatility of these pants, They're comfortable enough for everyday wear but stylish enough for a night out.",Outfitters,Women,Pant
Blue Jeans,Upgrade your wardrobe with these sophisticated pants.,2700,wearables/Female/Pants/s0n91t1ordax9cccxaua,4.4,"Absolutely recommend these pants, The fit is true to size and they're incredibly flattering.",Furor,Women,Pant
Black Jeans,Stay cozy and warm with these snug and comfortable pants.,2900,wearables/Female/Pants/n32gkrgyr7f2fuiitpmo,3.7,"These pants are perfect for any occasion, They're lightweight yet durable, making them ideal for travel.",Engine,Women,Pant
Blue Jeans,Exude confidence in these effortlessly cool pants.,2200,wearables/Female/Pants/aktkjkw1mkplvqttt47g,4.2,"So happy with my purchase of these pants, The color is exactly as pictured and they're held up well after multiple wears.",Furor,Women,Pant
White Jeans,Enjoy all-day comfort in these lightweight and breathable pants.,2700,wearables/Female/Pants/scxwqaf7wtmlsrz4uoyp,3.6,"These pants are a great investment, The quality is evident and I can see them becoming a wardrobe staple.",Outfitters,Women,Pant
Blue Jeans,Channel timeless elegance with these beautifully tailored pants.,2500,wearables/Female/Pants/knewhugyvt5xq166vox6,4,"Love the attention to detail in these pants, From the stitching to the pockets, every aspect is well thought out.",Furor,Women,Pant
Blue Jeans,Make a statement with these bold and expressive pants.,2500,wearables/Female/Pants/vxzmuynj5woa7hhqrv14,3.5,"These pants are a definite conversation starter, I've had so many people ask me where I got them from.",Engine,Women,Pant
Pink Pants,Showcase your individual style with these unique and trendy pants.,2200,wearables/Female/Pants/kjlkyditjpdslidat7uq,4.3,"Can't wait to order more pants from this brand, The customer service was exceptional and the delivery was fast.",Engine,Women,Pant
